Rank, Fitness, kfsr, krsr, kfmm, krmm, kf1x, kr1x, kfc, krc, krmmTriCoop, kx2, krx2, S0, R0, X0, X0_stimScale
69, -0.2364, 0.030416, 0.15987, 0.013853, 1.8522, 0.29646, 37.789, 2.043, 0.50695, 2.1056, 0.14352, 7.6135, 0.014972, 664.95, 20.641, 3.4156
70, -0.2380, 0.01786, 0.23534, 0.013853, 2.907, 0.45023, 18.181, 2.4903, 0.27994, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 2.7622
71, -0.2383, 0.033824, 0.23534, 0.017819, 2.907, 0.27921, 37.789, 2.043, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 2.9366
72, -0.2384, 0.01786, 0.23534, 0.013853, 2.9099, 0.41189, 14.187, 2.8189, 0.38637, 2.4969, 0.12321, 7.6135, 0.019183, 664.95, 20.641, 4.1004
73, -0.2399, 0.030315, 0.23534, 0.013853, 2.907, 0.29646, 37.789, 2.043, 0.38637, 2.1056, 0.086371, 7.6135, 0.017757, 664.95, 20.641, 3.8825
74, -0.2403, 0.030416, 0.15987, 0.013853, 2.907, 0.29646, 37.789, 2.043, 0.50695, 2.1056, 0.072582, 7.6135, 0.014972, 664.95, 20.641, 2.9366
75, -0.2410, 0.030416, 0.23534, 0.013853, 3.2875, 0.29646, 37.789, 2.043, 0.38637, 2.1056, 0.086371, 4.4949, 0.019183, 694.05, 11.622, 2.9366
76, -0.2412, 0.030416, 0.23534, 0.013853, 2.907, 0.26779, 37.789, 2.043, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 2.9366
77, -0.2417, 0.01786, 0.23534, 0.013853, 3.5819, 0.41189, 23.834, 2.5803, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 4.1004
78, -0.2418, 0.018149, 0.21163, 0.013853, 2.907, 0.41189, 30.343, 4.1436, 0.38637, 1.788, 0.086371, 7.6135, 0.019626, 664.95, 11.154, 4.1004
79, -0.2420, 0.030416, 0.15987, 0.01335, 2.907, 0.29646, 37.789, 2.043, 0.53643, 2.1056, 0.090794, 7.5263, 0.014972, 664.95, 20.641, 2.9366
80, -0.2428, 0.030416, 0.15987, 0.013853, 2.907, 0.29646, 37.789, 2.043, 0.50695, 2.1056, 0.098543, 7.6135, 0.014972, 664.95, 20.641, 2.9366
81, -0.2430, 0.030416, 0.15987, 0.011381, 2.907, 0.29646, 37.789, 2.043, 0.64228, 2.1056, 0.14352, 7.6135, 0.014972, 664.95, 20.641, 3.0358
82, -0.2432, 0.030416, 0.23534, 0.013853, 2.907, 0.33704, 37.789, 2.2179, 0.37126, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 3.8454
83, -0.2466, 0.030416, 0.15987, 0.010018, 2.907, 0.29646, 37.789, 2.043, 0.35333, 2.1056, 0.14352, 7.6135, 0.014972, 664.95, 20.641, 2.9366
84, -0.2468, 0.030416, 0.15987, 0.013853, 2.907, 0.29646, 37.789, 2.3058, 0.50695, 2.1056, 0.14352, 7.6135, 0.014972, 664.95, 18.094, 3.0847
85, -0.2471, 0.030416, 0.15987, 0.013853, 3.6379, 0.29646, 37.789, 2.043, 0.50695, 2.1056, 0.14352, 7.6135, 0.014972, 664.95, 20.641, 2.9366
86, -0.2472, 0.030416, 0.15987, 0.011459, 2.907, 0.29646, 37.789, 2.043, 0.34083, 2.1056, 0.14352, 7.6135, 0.014972, 664.95, 20.641, 2.9366
87, -0.2474, 0.030416, 0.23534, 0.013853, 2.907, 0.31204, 37.789, 2.043, 0.38637, 2.1056, 0.086371, 6.3118, 0.019183, 688.78, 20.641, 2.9366
88, -0.2482, 0.030416, 0.23534, 0.013853, 2.907, 0.29646, 37.789, 2.043, 0.38637, 2.1056, 0.086371, 8.7373, 0.019183, 664.95, 20.641, 2.9366
89, -0.2485, 0.030416, 0.15987, 0.013853, 2.907, 0.29646, 37.789, 2.043, 0.50695, 2.1056, 0.14352, 7.6135, 0.014972, 664.95, 20.641, 2.9366
90, -0.2485, 0.030416, 0.15987, 0.013853, 2.907, 0.29646, 37.789, 2.043, 0.28761, 2.1056, 0.14352, 7.6135, 0.014972, 664.95, 20.641, 2.9366
91, -0.2488, 0.030416, 0.15987, 0.013853, 2.907, 0.29646, 37.789, 2.0815, 0.50695, 2.1056, 0.14352, 7.6135, 0.014972, 664.95, 20.641, 2.9366
92, -0.2489, 0.030416, 0.15987, 0.013853, 2.7491, 0.29646, 37.789, 2.043, 0.73661, 2.1056, 0.14352, 7.6135, 0.014972, 664.95, 20.641, 2.9366
93, -0.2494, 0.030416, 0.24921, 0.013853, 2.907, 0.29646, 37.789, 2.043, 0.5183, 2.1056, 0.09256, 7.6135, 0.019183, 664.95, 20.641, 3.0554
94, -0.2497, 0.030416, 0.15987, 0.013853, 2.907, 0.29646, 37.789, 2.043, 0.50695, 2.1056, 0.15173, 7.6135, 0.014972, 664.95, 20.641, 2.9366
95, -0.2498, 0.01786, 0.18838, 0.013853, 2.907, 0.41189, 34.31, 3.2542, 0.38637, 2.9898, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 4.1004
96, -0.2500, 0.026703, 0.15987, 0.012688, 2.2354, 0.29646, 28.244, 2.043, 0.50695, 2.1056, 0.14352, 7.6135, 0.014972, 664.95, 20.641, 2.9366
97, -0.2501, 0.01786, 0.23534, 0.013853, 2.907, 0.41189, 23.834, 2.8189, 0.19862, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 2.9797
98, -0.2503, 0.01786, 0.23534, 0.013853, 3.1899, 0.41189, 23.834, 2.8189, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 2.9809
99, -0.2505, 0.01786, 0.22311, 0.0070049, 2.907, 0.41189, 23.834, 2.8189, 0.38637, 1.0937, 0.096913, 7.6135, 0.019183, 664.95, 20.641, 4.1004
100, -0.2508, 0.030416, 0.19689, 0.013853, 2.907, 0.29646, 30.368, 1.7166, 0.5731, 2.1056, 0.086371, 7.6135, 0.014903, 877.75, 20.641, 2.9366
101, -0.2512, 0.030416, 0.15987, 0.013853, 2.907, 0.29646, 37.789, 2.043, 0.50695, 1.9261, 0.14352, 7.6135, 0.014972, 664.95, 20.641, 2.9366
102, -0.2513, 0.030416, 0.15987, 0.013853, 2.907, 0.29646, 37.789, 2.043, 0.50695, 2.5952, 0.20578, 7.6135, 0.014972, 664.95, 20.641, 2.9366
103, -0.2517, 0.030416, 0.23534, 0.013853, 2.907, 0.29646, 37.789, 2.043, 0.22243, 2.2953, 0.086371, 7.6135, 0.019183, 664.95, 28.293, 2.6038
104, -0.2519, 0.030416, 0.15987, 0.013853, 2.5524, 0.29646, 37.789, 2.043, 0.4324, 2.1056, 0.14352, 8.2802, 0.014972, 664.95, 20.641, 2.9366
105, -0.2519, 0.030416, 0.15987, 0.013853, 2.907, 0.29646, 37.789, 1.7331, 0.50695, 2.1056, 0.14352, 7.6135, 0.014972, 664.95, 20.641, 3.6902
106, -0.2526, 0.01786, 0.29041, 0.013853, 2.907, 0.41189, 13.151, 2.8189, 0.38637, 2.1056, 0.086371, 9.3073, 0.019183, 664.95, 20.641, 4.1004
107, -0.2534, 0.030416, 0.15987, 0.013853, 2.907, 0.26903, 37.789, 2.043, 0.50695, 2.1056, 0.14352, 7.6135, 0.014972, 664.95, 20.641, 2.9366
108, -0.2534, 0.030416, 0.15987, 0.011738, 2.907, 0.33749, 37.789, 2.043, 0.50695, 2.1056, 0.14352, 7.6135, 0.014972, 664.95, 20.641, 2.9366
109, -0.2536, 0.030416, 0.23534, 0.013853, 2.907, 0.36918, 37.789, 2.043, 0.49643, 1.1514, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 3.6379
110, -0.2537, 0.030416, 0.23534, 0.013853, 2.1966, 0.29646, 37.789, 2.043, 0.38637, 1.2684, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 2.9366
111, -0.2541, 0.030416, 0.15987, 0.013853, 3.6187, 0.39004, 37.789, 2.043, 0.50695, 2.1056, 0.13568, 7.6135, 0.014972, 664.95, 18.1, 2.9366
112, -0.2552, 0.01786, 0.23534, 0.0096596, 2.907, 0.52396, 18.051, 2.8189, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 21.467, 4.1004
113, -0.2555, 0.033908, 0.17061, 0.013853, 3.5568, 0.29646, 37.789, 2.043, 0.50695, 2.1056, 0.14352, 7.6135, 0.014972, 664.95, 20.641, 2.9366
114, -0.2567, 0.030416, 0.15987, 0.013853, 2.907, 0.19221, 37.789, 2.043, 0.7456, 1.6896, 0.14352, 10, 0.017689, 664.95, 20.641, 2.9366
115, -0.2573, 0.030416, 0.15987, 0.012231, 2.907, 0.29646, 37.789, 1.4148, 0.50695, 2.3259, 0.14283, 7.6135, 0.017164, 664.95, 20.641, 2.9366
116, -0.2589, 0.030416, 0.15987, 0.013853, 2.4278, 0.29646, 37.789, 2.043, 0.50695, 2.1056, 0.1997, 7.6135, 0.014972, 664.95, 20.641, 2.9366
117, -0.2600, 0.030416, 0.23782, 0.013853, 2.907, 0.29646, 22.314, 2.043, 0.36843, 2.1056, 0.14352, 7.0301, 0.018324, 664.95, 20.641, 2.9366
118, -0.2601, 0.030416, 0.19605, 0.013853, 2.907, 0.29646, 37.789, 2.043, 0.50357, 2.1056, 0.086371, 7.6135, 0.019183, 528.22, 20.641, 2.9366
119, -0.2602, 0.01786, 0.20488, 0.013853, 4.2479, 0.41189, 23.834, 2.8189, 0.46576, 2.1056, 0.086371, 7.9553, 0.02018, 664.95, 20.641, 4.1004
120, -0.2610, 0.016517, 0.23534, 0.013853, 2.907, 0.41189, 23.834, 2.8189, 0.38637, 2.1277, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 4.1004
121, -0.2620, 0.030416, 0.23534, 0.013853, 2.907, 0.29646, 37.789, 2.043, 0.38637, 2.3679, 0.086371, 7.6135, 0.019183, 623.25, 20.641, 2.9366
122, -0.2626, 0.030416, 0.23534, 0.013853, 2.907, 0.29646, 37.789, 2.043, 0.38637, 1.1869, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 2.9366
123, -0.2629, 0.030416, 0.23534, 0.01665, 2.907, 0.42784, 37.789, 2.043, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 2.9366
124, -0.2632, 0.01786, 0.23534, 0.013853, 1.482, 0.41189, 23.834, 3.4927, 0.44195, 1.4346, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 5.2729
125, -0.2636, 0.030416, 0.15987, 0.013853, 2.907, 0.29646, 23.437, 2.043, 0.50695, 2.1056, 0.14352, 7.6135, 0.010635, 838.55, 20.641, 4.2505
126, -0.2646, 0.030416, 0.23534, 0.013853, 2.907, 0.29646, 25.316, 2.043, 0.28516, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 2.9366
127, -0.2648, 0.030416, 0.23534, 0.013853, 2.907, 0.29646, 37.789, 2.043, 0.38637, 1.2261, 0.086371, 7.6135, 0.019183, 769.34, 16.587, 2.9366
128, -0.2651, 0.030416, 0.16315, 0.013853, 2.907, 0.29646, 37.789, 2.043, 0.28413, 2.5617, 0.14352, 6.4879, 0.021014, 380.62, 20.641, 2.9366
129, -0.2653, 0.030881, 0.15987, 0.011223, 3.2941, 0.29646, 29.143, 2.043, 0.50695, 2.1056, 0.14352, 7.6135, 0.013624, 650.13, 20.641, 2.9366
130, -0.2660, 0.030416, 0.15987, 0.013853, 2.907, 0.24508, 37.789, 2.043, 0.2829, 2.1056, 0.14352, 7.6135, 0.014972, 664.95, 20.641, 2.9366
131, -0.2663, 0.030416, 0.15987, 0.013853, 2.907, 0.36042, 37.789, 2.043, 0.29701, 2.2881, 0.14352, 7.6135, 0.014972, 664.95, 20.641, 2.9366
132, -0.2669, 0.030416, 0.23534, 0.013853, 2.907, 0.29646, 25.442, 2.043, 0.38637, 1.6731, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 2.9366
133, -0.2672, 0.030416, 0.15987, 0.013853, 1.8068, 0.29646, 29.143, 2.043, 0.50695, 2.7637, 0.14352, 6.952, 0.013228, 664.95, 20.641, 2.9366
134, -0.2683, 0.01786, 0.23534, 0.013853, 1.7651, 0.41189, 23.834, 2.8189, 0.38637, 2.1056, 0.093682, 7.6135, 0.016795, 664.95, 26.602, 4.1004
135, -0.2687, 0.030416, 0.15987, 0.013692, 2.4913, 0.29646, 37.789, 2.043, 0.50695, 1.4464, 0.14352, 7.6135, 0.014972, 664.95, 20.641, 2.9366
136, -0.2694, 0.030416, 0.16227, 0.013853, 2.907, 0.29646, 37.789, 2.043, 0.57389, 2.9189, 0.14352, 7.6135, 0.016035, 664.95, 20.641, 2.9366
137, -0.2694, 0.01786, 0.23534, 0.013853, 2.5579, 0.41189, 23.834, 2.8189, 0.38637, 2.1056, 0.086371, 7.6135, 0.022084, 664.95, 20.641, 4.1004
138, -0.2696, 0.030416, 0.15987, 0.013853, 2.907, 0.29646, 37.789, 1.9879, 0.50695, 2.1056, 0.14352, 10, 0.014972, 664.95, 18.785, 3.7401
139, -0.2702, 0.030416, 0.23534, 0.013853, 2.907, 0.29646, 48.217, 2.043, 0.30313, 2.1056, 0.086371, 9.3179, 0.019183, 718.25, 20.641, 2.9366
140, -0.2708, 0.030416, 0.15987, 0.013853, 2.907, 0.29646, 30.321, 2.043, 0.50695, 2.1056, 0.21494, 7.6135, 0.014972, 664.95, 20.641, 2.9366
141, -0.2712, 0.01786, 0.23534, 0.013853, 2.907, 0.41189, 16.332, 1.985, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 5.3496
142, -0.2716, 0.01786, 0.23534, 0.013853, 2.907, 0.41189, 23.834, 3.8451, 0.38637, 2.1056, 0.086371, 7.6135, 0.019183, 664.95, 20.641, 4.1004
143, -0.2724, 0.030416, 0.15987, 0.013853, 2.907, 0.29646, 37.789, 2.043, 0.73689, 2.1056, 0.19118, 7.6135, 0.014849, 664.95, 18.647, 2.9366
