Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eMLoop, eDF, kfdd, stimUpSR, S0, R0, X0, kfcm, krcm, eCA, kclus, eDLoop
3895, -14.7125, 0.12992, 36.474, 0.0028983, 561.25, 2.6925, 0.011759, 2.6605, 1.2871, 0.1263, 992.09, 0.75652, 5.7619, 0.06801, 4.0216, 0.0062939, 0.75184, 3.3878, 0.38808,1e-26,83.062, 1.417, 1e-26
3896, -14.7230, 0.0049976, 0.0085507, 0.052123, 36.712, 0.021473, 2.4755, 0.025124, 0.048376, 0.002629, 101.25, 0.0025786, 0.47078, 0.051153, 11.72, 0.030327, 15.078, 8.0715, 0.20228,1e-26,4.7833, 0.18075, 1e-26
3897, -14.7262, 3.9666, 0.035802, 0.065171, 140.39, 2.9249, 114.56, 6.3538, 2.8753, 1.5942, 0.093355, 0.53547, 0.46813, 0.019454, 7.3185, 1.5305, 37.844, 0.12987, 0.069107,1e-26,3.5139, 0.14683, 1e-26
3898, -14.7311, 0.010944, 123.7, 0.18691, 0.066069, 0.0068516, 77.486, 6.7199, 0.082619, 0.0016828, 168.32, 3.7859, 0.0069067, 0.24823, 6.8348, 0.8854, 1.8636, 0.1516, 1.1563,1e-26,15.359, 0.0015981, 1e-26
3899, -14.7374, 0.0019587, 0.56496, 0.074919, 11.052, 0.99189, 2.1972, 3.5476, 36.981, 0.0079691, 46.27, 3.5122, 0.0088727, 0.13304, 58.382, 0.13312, 785.03, 0.20778, 7.0804,1e-26,14.814, 0.0019102, 1e-26
3900, -14.7504, 0.006453, 0.050716, 0.091869, 187.81, 0.022124, 665.6, 0.24307, 398.74, 0.64728, 0.07707, 0.0017558, 9.2189, 0.12006, 2.0778, 0.098527, 0.11497, 1.8464, 0.21278,1e-26,9.4207, 0.22771, 1e-26
3901, -14.7527, 0.0015973, 0.0027225, 0.51893, 0.62211, 0.017999, 91.245, 0.0082824, 0.453, 0.62303, 847.15, 9.7192, 0.018382, 0.35751, 10.817, 0.062815, 0.21197, 3.8317, 0.052702,1e-26,41.429, 0.002668, 1e-26
3902, -14.7660, 0.0018969, 50.052, 0.57127, 26.7, 0.0022826, 0.086174, 0.42956, 99.633, 0.43299, 42.591, 4.1408, 5.325, 0.09504, 3.848, 1.6141, 111.77, 0.37905, 0.091518,1e-26,0.15805, 0.46997, 1e-26
3903, -14.7801, 3.9666, 0.035802, 0.076186, 140.39, 2.9249, 209.4, 5.2567, 2.2943, 1.5942, 0.14473, 0.53547, 0.32335, 0.021534, 8.2182, 1.5305, 37.844, 0.087074, 0.069107,1e-26,3.5139, 0.084164, 1e-26
3904, -14.7855, 0.93191, 0.0062816, 0.29941, 13.179, 0.0037742, 0.011133, 0.022771, 211.55, 0.017961, 170.14, 0.34666, 0.002868, 0.085204, 60.618, 0.0070411, 2.2681, 0.16114, 0.28132,1e-26,312.79, 0.008147, 1e-26
