Rank, Fitness, kfsr, krsr, kfmm, krmm, kf1x, kr1x, kfc, krc, krmmTriCoop, kx2, krx2, S0, R0, X0, X0_stimScale
2225, -0.7700, 0.046393, 0.30424, 7.777, 69.92, 0.012673, 0.2218, 0.11545, 0.35937, 3.7428, 0.081529, 16.38, 3.6715, 26.035, 11.302, 1
2226, -0.7700, 0.077548, 0.22236, 7.3449, 58.521, 0.015196, 0.4419, 0.11545, 0.39223, 1.4369, 0.094832, 16.38, 3.6301, 26.035, 18.51, 1
2227, -0.7713, 0.049721, 0.22236, 7.777, 65.382, 0.016243, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 9.7461, 3.6301, 26.035, 11.302, 1
2228, -0.7714, 0.065152, 0.22236, 7.3449, 81.039, 0.016243, 0.4419, 0.11545, 0.44746, 2.325, 0.058588, 14.49, 3.6301, 27.864, 14.476, 1
2229, -0.7717, 0.047842, 0.22236, 7.3449, 58.521, 0.016243, 0.32383, 0.11545, 0.39805, 1.3573, 0.059875, 16.38, 3.6301, 26.035, 18.51, 1
2230, -0.7718, 0.046393, 0.22236, 7.3449, 58.521, 0.016243, 0.32383, 0.11545, 0.41652, 1.0003, 0.059875, 16.38, 3.6301, 30.383, 21.926, 1
2231, -0.7721, 0.049495, 0.23731, 6.0956, 50.175, 0.016243, 0.32383, 0.11545, 0.31922, 2.2127, 0.066431, 16.38, 3.6301, 19.213, 23.582, 1
2232, -0.7723, 0.046393, 0.22236, 7.3449, 83.493, 0.016243, 0.32383, 0.11545, 0.31922, 1.8833, 0.076321, 21.587, 3.6301, 26.035, 15.886, 1
2233, -0.7726, 0.046393, 0.22236, 7.3449, 69.92, 0.016243, 0.35365, 0.16137, 0.51785, 2.5295, 0.059875, 23.738, 3.6301, 26.035, 11.154, 1
2234, -0.7732, 0.067752, 0.22236, 7.777, 69.285, 0.016243, 0.43768, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 3.6301, 26.035, 8.5463, 1
2235, -0.7742, 0.046393, 0.11423, 7.3449, 58.521, 0.016243, 0.16472, 0.11545, 0.34298, 1.8833, 0.059875, 16.38, 3.6301, 26.035, 18.51, 1
2236, -0.7742, 0.065152, 0.19108, 7.3449, 43.942, 0.011423, 0.4419, 0.11545, 0.31922, 1.9506, 0.094832, 16.38, 3.6301, 21.613, 18.51, 1
2237, -0.7746, 0.065152, 0.22236, 7.3189, 58.521, 0.016243, 0.51339, 0.11545, 0.31922, 1.8833, 0.094832, 16.38, 3.2457, 21.69, 18.51, 1
2238, -0.7746, 0.046393, 0.29432, 7.777, 69.92, 0.012078, 0.35365, 0.11545, 0.39002, 3.3706, 0.087711, 9.9062, 3.6301, 26.035, 11.302, 1
2239, -0.7747, 0.046393, 0.22236, 7.3449, 69.92, 0.016243, 0.35365, 0.11545, 0.30353, 2.5295, 0.055828, 19.492, 3.6301, 26.035, 11.378, 1
2240, -0.7748, 0.046393, 0.22236, 7.3449, 82.309, 0.016243, 0.32383, 0.11545, 0.31922, 1.8833, 0.077558, 16.38, 3.6301, 34.983, 12.428, 1
2241, -0.7752, 0.065152, 0.11651, 7.3449, 34.425, 0.016243, 0.4419, 0.11545, 0.31922, 1.8833, 0.094832, 16.38, 3.6301, 26.035, 18.51, 1
2242, -0.7753, 0.065152, 0.22236, 5.1091, 58.521, 0.010771, 0.4419, 0.11545, 0.16631, 2.2121, 0.094832, 16.38, 3.6301, 26.035, 18.51, 1
2243, -0.7754, 0.046393, 0.22236, 8.1874, 69.92, 0.016243, 0.35365, 0.11545, 0.39002, 2.5295, 0.046043, 10.648, 3.6301, 26.035, 15.074, 1
2244, -0.7754, 0.032693, 0.22236, 7.4182, 58.521, 0.010565, 0.38254, 0.1, 0.31859, 1.8833, 0.059875, 16.38, 3.6301, 26.035, 18.51, 1
2245, -0.7755, 0.065152, 0.22236, 7.3449, 58.521, 0.011197, 0.4419, 0.11545, 0.31922, 1.5171, 0.094832, 13.695, 3.3757, 26.035, 18.51, 1
2246, -0.7765, 0.046393, 0.26759, 4.2373, 87.383, 0.016243, 0.35365, 0.13729, 0.49339, 2.9025, 0.059875, 16.38, 3.6301, 26.035, 15.074, 1
2247, -0.7767, 0.028833, 0.1826, 7.3449, 69.92, 0.011931, 0.51075, 0.11545, 0.45749, 2.5295, 0.086965, 16.38, 3.6301, 26.657, 15.074, 1
2248, -0.7767, 0.065152, 0.18787, 7.3449, 58.521, 0.016243, 0.26121, 0.11545, 0.31922, 1.8833, 0.094832, 16.38, 3.6301, 21.897, 18.51, 1
2249, -0.7767, 0.03444, 0.22236, 7.3449, 69.92, 0.016243, 0.35365, 0.11545, 0.33789, 2.5295, 0.059875, 16.38, 3.6301, 27.094, 15.074, 1
2250, -0.7768, 0.095608, 0.14582, 7.3449, 58.521, 0.016243, 0.40107, 0.11545, 0.31922, 1.8833, 0.089114, 16.38, 3.6301, 26.035, 19.098, 1
2251, -0.7768, 0.046393, 0.17634, 7.3449, 60.405, 0.016243, 0.32383, 0.11545, 0.31922, 1.8833, 0.059875, 16.38, 3.6301, 26.035, 20.419, 1
2252, -0.7769, 0.039201, 0.22236, 6.3757, 74.182, 0.01283, 0.35365, 0.11545, 0.39002, 3.7428, 0.059875, 16.38, 2.79, 25.951, 11.302, 1
