Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0
91, -0.7951, 2.1212, 0.1953, 0.26736, 0.012332, 0.37603, 10.434, 0.39847, 110.96, 1.6447, 1.9163, 0.0198, 0.0051449, 0.57687, 3.9596, 0.0047993, 5.5715, 0.097932
92, -0.7984, 2.1212, 0.1953, 0.19176, 0.01472, 0.37603, 11.623, 0.39847, 110.96, 1.6447, 0.99385, 0.014104, 0.0051449, 0.46428, 3.845, 0.0064756, 4.3879, 0.096416
93, -0.7985, 2.1212, 0.19739, 0.19176, 0.012332, 0.37603, 11.623, 0.25609, 103.4, 1.3581, 1.1617, 0.020801, 0.0037476, 0.46428, 3.9596, 0.0047993, 5.5091, 0.096416
94, -0.7991, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 6.1682, 0.48394, 110.96, 1.6447, 1.53, 0.015355, 0.0051449, 0.46428, 3.9596, 0.0046284, 4.5416, 0.096416
95, -0.8005, 2.1212, 0.1953, 0.19176, 0.01, 0.37603, 11.623, 0.39847, 110.96, 1.7585, 1.8873, 0.014104, 0.0052561, 0.46428, 3.9596, 0.0060696, 3.2543, 0.096416
96, -0.8031, 2.1212, 0.1953, 0.19176, 0.016959, 0.37603, 11.623, 0.25075, 112.2, 2.0176, 2.0748, 0.014104, 0.0051449, 0.45669, 3.9596, 0.0047993, 4.5416, 0.096416
97, -0.8046, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.50175, 110.96, 1.6447, 1.2336, 0.0092634, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
98, -0.8052, 2.8265, 0.26146, 0.19176, 0.012332, 0.55096, 11.623, 0.5342, 110.96, 1.6447, 1.5545, 0.012149, 0.0045214, 0.46977, 3.9596, 0.0051166, 3.4944, 0.096416
99, -0.8074, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.57894, 110.96, 1.6447, 1.53, 0.010968, 0.0051449, 0.46428, 3.5741, 0.0047993, 4.5416, 0.096416
100, -0.8095, 1.9271, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 126.17, 2.0198, 1.4448, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
101, -0.8097, 2.1212, 0.1953, 0.19176, 0.012273, 0.37603, 11.623, 0.4187, 141.83, 1.1679, 1.53, 0.020801, 0.0051449, 0.46428, 3.517, 0.0047993, 5.2686, 0.096416
102, -0.8100, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.686, 0.38412, 110.96, 1.8601, 1.53, 0.014104, 0.0051449, 0.6062, 3.9596, 0.0047993, 4.1887, 0.096416
103, -0.8104, 2.1212, 0.1953, 0.23801, 0.012332, 0.37603, 11.623, 0.32759, 141.83, 1.1679, 1.53, 0.020801, 0.0051449, 0.39512, 3.9596, 0.0047993, 4.996, 0.096416
104, -0.8108, 2.1212, 0.1953, 0.19176, 0.012332, 0.32209, 15.835, 0.39847, 110.96, 1.6447, 1.53, 0.014104, 0.003117, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
105, -0.8127, 2.1212, 0.1953, 0.2618, 0.012332, 0.37603, 11.623, 0.39847, 141.83, 1.1679, 1.53, 0.020801, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.754, 0.096416
106, -0.8204, 2.1212, 0.22809, 0.14249, 0.012332, 0.37603, 11.623, 0.39847, 141.83, 1.5175, 1.9409, 0.020801, 0.0034123, 0.24117, 3.9596, 0.0047993, 6.2541, 0.096416
107, -0.8223, 2.1212, 0.1953, 0.19176, 0.012978, 0.43609, 11.623, 0.39847, 141.83, 1.566, 1.53, 0.024841, 0.0029639, 0.46428, 3.9596, 0.0047993, 6.2541, 0.096416
108, -0.8227, 2.1212, 0.27945, 0.28349, 0.012332, 0.37603, 11.623, 0.39847, 110.96, 1.6447, 1.53, 0.014104, 0.0027425, 0.46428, 3.9596, 0.005231, 4.5416, 0.096416
109, -0.8246, 2.1212, 0.1953, 0.19176, 0.015525, 0.37603, 11.623, 0.21865, 110.96, 1.6447, 1.0123, 0.018304, 0.0051449, 0.54747, 3.9596, 0.0047993, 4.5416, 0.096416
110, -0.8257, 2.159, 0.17328, 0.19176, 0.012332, 0.50804, 11.623, 0.25737, 141.83, 1.1679, 1.53, 0.020801, 0.0051449, 0.46428, 3.9596, 0.0040467, 6.2541, 0.096416
111, -0.8264, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 110.96, 1.6447, 1.943, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 5.7663, 0.096416
112, -0.8266, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 13.83, 0.22895, 141.83, 1.1679, 1.53, 0.020801, 0.0051449, 0.46428, 3.5477, 0.0047993, 6.2541, 0.096416
113, -0.8274, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.37449, 110.96, 1.6447, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 5.6159, 0.096416
114, -0.8293, 2.1212, 0.1953, 0.16333, 0.015718, 0.43837, 11.623, 0.39847, 160.31, 1.6447, 1.53, 0.014104, 0.0039899, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
115, -0.8319, 2.1212, 0.1953, 0.16421, 0.012332, 0.37603, 11.623, 0.39847, 137.83, 1.6447, 1.53, 0.014104, 0.0051449, 0.69075, 3.9596, 0.0047993, 4.5416, 0.096416
116, -0.8331, 2.1212, 0.24278, 0.19176, 0.014241, 0.37603, 11.623, 0.39847, 141.83, 1.4294, 1.53, 0.020801, 0.0051449, 0.46428, 3.9596, 0.0047993, 6.2006, 0.10194
117, -0.8331, 2.1212, 0.1407, 0.19176, 0.012332, 0.48902, 9.8186, 0.39847, 110.96, 1.6447, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
118, -0.8336, 2.1212, 0.1953, 0.19176, 0.012332, 0.35645, 11.623, 0.39847, 109.03, 1.6447, 1.3657, 0.014104, 0.0051449, 0.43341, 3.9596, 0.0047993, 4.5416, 0.092375
119, -0.8353, 2.1212, 0.1953, 0.2299, 0.012332, 0.36538, 11.623, 0.39847, 110.96, 2.2112, 1.53, 0.014104, 0.0051449, 0.46428, 3.9596, 0.0047993, 6.0532, 0.096416
120, -0.8364, 2.1212, 0.1953, 0.16055, 0.012332, 0.37603, 11.623, 0.39847, 110.96, 1.6447, 1.53, 0.014104, 0.0033376, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
121, -0.8365, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 142.1, 1.6156, 1.53, 0.020801, 0.0051449, 0.46428, 3.9596, 0.0047993, 6.2541, 0.096416
122, -0.8366, 2.1212, 0.16138, 0.23027, 0.012332, 0.28334, 11.623, 0.39847, 110.96, 1.6447, 2.0242, 0.0082722, 0.0051449, 0.64928, 3.9596, 0.0047993, 4.5416, 0.096416
123, -0.8368, 2.089, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 161.87, 1.6447, 1.5308, 0.014104, 0.0051449, 0.50293, 3.9596, 0.0047993, 4.2291, 0.096416
124, -0.8368, 2.1212, 0.1953, 0.19176, 0.012332, 0.37603, 11.623, 0.39847, 110.96, 1.4742, 1.53, 0.007479, 0.0051449, 0.46428, 3.9596, 0.0047993, 4.5416, 0.096416
