Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0, kfcm, krcm, eCA, kclus
3959, -97.9723, 0.0049205, 0.038374, 0.60416, 0.039951, 0.10764, 9.5463, 0.004229, 446.75, 1.3589, 4.3759, 0.5833, 0.13199, 0.032848, 4.4204, 5.2578, 29.869, 0.42558, 0.61778,1e-26,0.67615,0.0091265
3960, -98.8740, 0.0052612, 0.048299, 0.60416, 0.039951, 0.08615, 17.494, 0.0029197, 243.12, 1.2423, 6.0948, 0.64817, 0.13199, 0.032844, 6.4894, 4.7842, 27.013, 0.66216, 0.82828,1e-26,0.67615,0.0091265
3961, -99.0746, 0.0049205, 0.049212, 0.87534, 0.039951, 0.10939, 6.3989, 0.0037571, 446.75, 1.5124, 4.3759, 0.5833, 0.067028, 0.018543, 3.109, 9.9414, 17.036, 0.23122, 0.61778,1e-26,0.67615,0.0091265
3962, -99.1632, 0.018956, 665.95, 1.6929, 2.2964, 0.81868, 0.092451, 1.1303, 9.2458, 0.033319, 0.020145, 0.045257, 0.019705, 0.82012, 33.582, 0.0015014, 785.34, 0.42615, 0.83631,1e-26,1.388,0.037373
3963, -99.3715, 0.0049205, 0.050096, 0.87534, 0.039951, 0.15506, 9.5463, 0.0042417, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.032844, 4.5896, 5.2578, 38.986, 0.34179, 0.55745,1e-26,0.67615,0.0091265
3964, -99.4069, 0.0049205, 0.048299, 0.60416, 0.039951, 0.087986, 13.126, 0.0037999, 446.75, 1.2423, 6.0948, 0.34381, 0.13199, 0.032844, 3.7236, 6.7787, 27.013, 0.66216, 0.61778,1e-26,0.67615,0.0091265
3965, -100.1244, 0.0049205, 0.063021, 0.56076, 0.048099, 0.12181, 9.5463, 0.0043111, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.032844, 4.5896, 7.801, 15.502, 0.34179, 0.61778,1e-26,0.67615,0.0091265
3966, -100.2212, 0.0032977, 0.055446, 0.74331, 0.039951, 0.087986, 9.5463, 0.0029197, 272.89, 1.3589, 4.3759, 0.80222, 0.13199, 0.032844, 6.4894, 5.2578, 29.869, 0.43216, 0.65806,1e-26,0.67615,0.012212
3967, -100.3554, 0.0032775, 0.001033, 0.29371, 0.45581, 0.002035, 40.749, 0.070868, 0.43066, 0.38833, 0.087676, 0.88423, 3.5301, 0.61206, 43.613, 0.0010429, 14.866, 6.2758, 0.12844,1e-26,644.21,0.096763
3968, -100.4927, 0.0049205, 0.063021, 0.87534, 0.039951, 0.13701, 9.5463, 0.0042946, 446.75, 1.5124, 4.3759, 0.5833, 0.13199, 0.032844, 6.0121, 7.801, 21.519, 0.34179, 0.61778,1e-26,0.67615,0.0091265
