Rank, Fitness, kfsr, krsr_nostim, krsr_stim, kfmm, krmm, kfc_nostim, kfc_stim, S0, R0, D1, D1_over_D2, X
63, -73.7720, 0.058, 1.1456, 0.40642, 0.0041996, 0.01, 0.080537, 0.033645, 1.3962, 416.04, 0.13161, 5, 7.5354
64, -73.9063, 0.047355, 1.3089, 0.18747, 0.0049276, 0.01, 0.056744, 0.019323, 1.785, 500, 0.11927, 5, 5
65, -73.9164, 0.08776, 1.95, 0.40846, 0.011284, 0.013377, 0.073305, 0.013447, 0.96799, 500, 0.14762, 5, 5
66, -73.9714, 0.02133, 0.7911, 0.19503, 0.0053622, 0.01264, 0.042454, 0.022391, 2.8815, 500, 0.14489, 5, 10
67, -73.9929, 0.091687, 3.3344, 0.90936, 0.0069408, 0.013696, 0.081621, 0.020086, 1.3604, 500, 0.10833, 5, 5
68, -74.2414, 0.029688, 0.41359, 0.14129, 0.003342, 0.01, 0.095162, 0.033477, 0.60466, 500, 0.10091, 3.0098, 5.4688
69, -74.2593, 0.07199, 0.72987, 0.26996, 0.0031119, 0.013093, 0.075639, 0.026499, 1.0051, 422.31, 0.13458, 5, 10
70, -74.5709, 0.051739, 1.9211, 0.3611, 0.0054838, 0.01, 0.096887, 0.027435, 2.0253, 300.57, 0.13129, 5, 6.0598
71, -74.7045, 0.063596, 1.5748, 0.46058, 0.001, 0.018638, 0.081621, 0.037351, 2.3417, 500, 0.070366, 5, 5.2247
72, -74.7993, 0.11207, 1.2512, 0.33757, 0.006711, 0.01, 0.074254, 0.024294, 0.73252, 300.78, 0.13788, 5, 5
73, -74.8246, 0.064105, 1.2718, 0.299, 0.0050833, 0.011504, 0.059855, 0.030151, 2.6607, 211, 0.12528, 5, 5
74, -74.9013, 0.11483, 1.0267, 0.27303, 0.0058506, 0.011242, 0.050656, 0.024015, 0.6996, 500, 0.13161, 5, 10
75, -75.0531, 0.058909, 1.5676, 0.46974, 0.0067523, 0.01, 0.081621, 0.024015, 0.91024, 500, 0.12609, 5, 6.9058
76, -75.0855, 0.098318, 1.0229, 0.34893, 0.002904, 0.01, 0.14418, 0.031331, 0.46518, 500, 0.10677, 5, 6.0481
77, -75.1415, 0.10029, 3.2793, 0.39991, 0.0076427, 0.01, 0.14087, 0.034226, 2.6309, 173.69, 0.10883, 5, 5
78, -75.2421, 0.058909, 0.89767, 0.34003, 0.0077318, 0.020644, 0.13778, 0.035208, 0.6992, 490.79, 0.17027, 5, 10
79, -75.3470, 0.10831, 3.2993, 0.78053, 0.0091901, 0.025315, 0.045299, 0.024276, 2.0618, 500, 0.095335, 5, 5
80, -75.4102, 0.092291, 1.2261, 0.35914, 0.0066045, 0.01, 0.054706, 0.015706, 0.89724, 500, 0.13788, 5, 10
81, -75.4822, 0.086633, 1.885, 0.5221, 0.0055417, 0.01, 0.054111, 0.016388, 1.3487, 500, 0.088879, 5, 5
82, -75.5162, 0.05641, 1.4488, 0.23106, 0.0079286, 0.013754, 0.024815, 0.013601, 2.2391, 500, 0.12811, 5, 10
83, -75.5370, 0.045973, 0.85038, 0.18294, 0.0035499, 0.014724, 0.10197, 0.037131, 2.7868, 220.89, 0.14755, 4.3439, 10
84, -75.5979, 0.058909, 2.9736, 0.79357, 0.0037368, 0.012675, 0.10277, 0.028424, 2.3077, 407.63, 0.10209, 5, 5
85, -75.7670, 0.047364, 2.3502, 0.86147, 0.0099686, 0.01753, 0.11359, 0.025747, 1.9811, 500, 0.10751, 5, 5.0817
86, -75.8692, 0.044577, 1.571, 0.34276, 0.0054165, 0.01, 0.064127, 0.024502, 1.6616, 500, 0.12662, 3.205, 7.4745
87, -75.9635, 0.11514, 3.1863, 0.29476, 0.0095345, 0.016229, 0.064906, 0.019357, 2.0696, 388.54, 0.15287, 5, 10
88, -76.0924, 0.061364, 1.8655, 0.46785, 0.0021979, 0.013673, 0.11281, 0.036297, 1.8582, 500, 0.11856, 5, 10
89, -76.2553, 0.071608, 0.87258, 0.22301, 0.004664, 0.012338, 0.056103, 0.02673, 0.73053, 500, 0.14717, 5, 5
90, -76.2973, 0.067233, 2.7319, 0.76164, 0.00669, 0.01, 0.1052, 0.033729, 1.43, 434.8, 0.13161, 5, 7.5181
91, -76.3197, 0.041349, 1.6471, 0.35406, 0.0053335, 0.01998, 0.12634, 0.022879, 2.0909, 500, 0.12551, 5, 10
92, -76.9342, 0.54092, 1.0079, 0.1, 0.0022019, 0.015615, 0.10178, 0.033981, 0.54566, 214.91, 0.091099, 5, 5.262
93, -76.9790, 0.054937, 1.5557, 0.48548, 0.0069465, 0.019947, 0.071385, 0.025379, 1.4865, 500, 0.13161, 2.9154, 10
94, -77.0612, 0.27804, 1.0003, 0.1, 0.001, 0.011878, 0.18044, 0.046179, 0.65363, 225.32, 0.12755, 5, 9.6148
95, -77.1237, 0.10837, 3.3524, 0.71161, 0.0058546, 0.013673, 0.092691, 0.031562, 2.0831, 334.51, 0.18544, 5, 10
96, -77.2884, 0.037359, 1.9153, 0.43858, 0.0056971, 0.01, 0.081621, 0.025668, 1.8867, 500, 0.12873, 5, 5
97, -77.3454, 0.11443, 1.0452, 0.44194, 0.0055479, 0.01, 0.13791, 0.045233, 0.35584, 500, 0.11275, 5, 5
98, -77.4356, 0.088591, 0.76956, 0.22933, 0.0042272, 0.01611, 0.05972, 0.027413, 0.74198, 500, 0.10485, 5, 10
99, -77.4538, 0.058049, 0.8782, 0.38427, 0.0029152, 0.01, 0.071736, 0.025032, 1.041, 500, 0.14015, 4.5159, 6.8799
100, -77.5267, 0.055722, 1.1986, 0.24992, 0.0042643, 0.012101, 0.049388, 0.021811, 1.4364, 500, 0.13788, 3.8321, 5.4327
