Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfq, krq, eLoop, eDF, kfdd, Sd, stimUpSR, S0, R0, X0, Q0
503, -10.9953, 0.69595, 0.016528, 0.10473, 5.0274, 0.033601, 0.37513, 3.0902, 16.7, 0.41837, 80.718, 0.0034257, 2.396, 0.029377, 2.6911, 44.281, 0.0028801, 2562.5, 0.5603,0.68352
504, -11.0000, 0.0043062, 965.54, 4.0272, 23.647, 0.010172, 0.24331, 0.058693, 0.15651, 1.8614, 24.539, 0.62269, 8.9175, 0.24937, 8.133, 2.3188, 0.0011362, 261.72, 75.423,0.28956
505, -11.0000, 0.023713, 43.417, 6.7507, 8.8978, 0.64951, 19.706, 0.13998, 0.050613, 0.11256, 0.01672, 5.11, 0.014853, 0.45093, 0.18689, 10.23, 0.0013336, 31.712, 1.9849,0.18184
506, -11.0000, 0.018201, 2.1348, 0.056821, 1.3482, 0.010203, 100.04, 0.010202, 0.16201, 0.0036469, 686.7, 0.094027, 0.199, 0.075048, 5.5214, 8.4291, 0.0029858, 67.122, 4.3335,0.19663
507, -11.0000, 0.10504, 7.2941, 0.011485, 2.2497, 0.22943, 14.148, 0.26961, 0.079642, 0.060637, 0.039005, 0.79797, 0.087203, 0.81362, 1.1785, 3.1407, 0.064743, 0.20105, 0.44403,5.0377
508, -11.0000, 0.096945, 5.6562, 0.37562, 0.77638, 0.0010709, 207.4, 0.18094, 0.15053, 0.99188, 92.14, 0.38534, 0.50539, 0.0205, 1.1533, 77.76, 0.02027, 32.499, 20.812,0.089821
509, -11.0000, 0.054714, 1.026, 0.37072, 0.015867, 0.01779, 0.30808, 0.0036957, 0.068922, 0.24964, 0.91003, 0.53944, 0.17648, 0.016633, 1.7891, 3.2899, 0.044452, 1.205, 66.622,2.864
510, -11.0000, 0.0060303, 0.024235, 0.61568, 0.1488, 0.50068, 9.8742, 0.0030049, 0.09028, 1.1907, 0.15118, 0.75793, 0.0074795, 0.34876, 2.0504, 2.5789, 0.072844, 1.1954, 0.66945,2.252
511, -11.0000, 0.0073608, 12.567, 1.3822, 0.090495, 1.9521, 32.583, 0.31227, 0.080442, 0.50369, 5.0002, 0.24298, 0.19101, 0.14501, 4.2215, 81.916, 0.32554, 7.6862, 70.767,5.3136
512, -11.0000, 0.15051, 204.82, 3.3635, 0.34868, 0.0078359, 0.091143, 0.28073, 0.042551, 8.7342, 148.01, 0.42074, 0.0019957, 0.20087, 3.5988, 3.4683, 1.7693, 2.9367, 3.108,7.1969
513, -11.0000, 0.51012, 0.014942, 0.43361, 2.7724, 0.62043, 31.787, 0.0022902, 0.10617, 0.37029, 0.1788, 0.23132, 8.0243, 0.01973, 3.6866, 33.93, 0.0082966, 0.74634, 3.8201,1.7479
514, -11.0000, 0.0048769, 0.03684, 0.78017, 3.776, 0.48034, 12.209, 7.9276, 0.13837, 0.0037161, 211.95, 0.54812, 9.2605, 0.028628, 1.8435, 3.2815, 0.048932, 0.31598, 2.8138,1.7215
515, -11.0000, 0.32927, 150.02, 6.427, 14.717, 2.0665, 0.60889, 0.15783, 0.083412, 0.1889, 2.8194, 0.62372, 0.20037, 0.042886, 1.6212, 17.578, 3.0512, 4.1578, 0.37404,0.19597
