Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, sig, eDF, kfdd, stimUpSR, S0, R0, X0
42, -4.0001, 1.554, 0.0014921, 0.00403, 204.51, 3.0785, 0.067425, 0.27028, 63.093, 2.3173, 5.993, 47.567, 0.00056061, 0.53232, 2.4739, 0.01, 0.17291, 58.562
43, -4.0001, 1.7604, 0.0014921, 0.0030672, 241.7, 3.0047, 0.068957, 0.11718, 63.093, 2.3173, 5.993, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.2955, 58.562
44, -4.0001, 1.554, 0.0014921, 0.0031783, 117.62, 3.0047, 0.063359, 0.2212, 63.093, 2.3173, 7.213, 67.989, 0.00056061, 0.44423, 1.9667, 0.01, 0.23581, 58.562
45, -4.0001, 1.554, 0.0014921, 0.0029937, 204.51, 3.0047, 0.067425, 0.2212, 50.474, 1.7356, 5.993, 26.062, 0.00056061, 0.5422, 2.1568, 0.01, 0.16328, 58.562
46, -4.0001, 1.554, 0.0014921, 0.0033329, 204.51, 3.0047, 0.067425, 0.2212, 63.093, 2.3173, 5.993, 47.567, 0.00056061, 0.54009, 2.1568, 0.01, 0.19162, 58.562
47, -4.0001, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.043516, 0.2212, 85.546, 2.3173, 5.993, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.2955, 58.562
48, -4.0001, 1.554, 0.0014921, 0.0031783, 291.42, 3.7953, 0.067425, 0.2212, 92.358, 2.3173, 6.3408, 47.567, 0.00054828, 0.44423, 2.1568, 0.01, 0.2955, 58.562
49, -4.0001, 1.554, 0.0014921, 0.0031783, 204.51, 3.0047, 0.072891, 0.2212, 63.093, 2.3173, 5.993, 51.675, 0.00056061, 0.44423, 2.1568, 0.01, 0.15809, 58.562
50, -4.0001, 1.477, 0.0014921, 0.0036934, 204.51, 3.4381, 0.067425, 0.2212, 76.86, 1.4138, 5.993, 33.61, 0.00056061, 0.44423, 2.1568, 0.01, 0.2955, 58.562
51, -4.0001, 1.4153, 0.0014921, 0.0043054, 204.51, 3.0047, 0.067425, 0.14018, 63.093, 2.3173, 5.993, 47.567, 0.00056061, 0.32487, 1.4952, 0.01, 0.2955, 58.562
52, -4.0001, 1.5727, 0.0014921, 0.0031783, 204.51, 3.0047, 0.067425, 0.13287, 63.093, 2.2093, 5.993, 47.567, 0.00041338, 0.44423, 3.2147, 0.01, 0.2955, 58.562
53, -4.0001, 1.554, 0.0014921, 0.0039828, 204.51, 3.5969, 0.035681, 0.2212, 80.798, 2.3173, 5.993, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.2955, 58.562
54, -4.0001, 1.554, 0.0014921, 0.0031783, 225.23, 3.0047, 0.067425, 0.13231, 63.093, 2.3173, 5.993, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.2955, 58.562
55, -4.0001, 1.554, 0.0015733, 0.0047607, 204.51, 3.0047, 0.067425, 0.2212, 63.093, 2.3173, 4.7693, 47.567, 0.00056061, 0.44423, 2.1568, 0.01, 0.15746, 58.562
