Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eMLoop, eDF, kfdd, stimUpSR, S0, R0, X0, C0, kfcm, krcm, eCA, kclus, eDLoop
51, -7.1908, 1.428, 0.012156, 0.015641, 0.24019, 1.0502, 0.089158, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.41331, 2.7481, 0.16116, 535.47, 1.7047,0.80316, 1e-26,987.18,3.7353, 1e-26, 4.8695
52, -7.1909, 2.0829, 0.012156, 0.012188, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 535.47, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
53, -7.1910, 1.428, 0.012156, 0.015641, 0.19902, 0.92411, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.3733, 3.049, 0.35783, 2.7481, 0.16116, 595.09, 1.7047,1.355, 1e-26,1000,3.7353, 1e-26, 4.8695
54, -7.1911, 1.428, 0.015152, 0.012751, 0.18847, 0.77398, 0.081041, 0.0026497, 168.85, 0.5727, 48.525, 1.394, 2.8271, 0.27002, 2.7481, 0.13103, 535.47, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
55, -7.1912, 1.428, 0.012156, 0.015641, 0.19741, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.21066, 2.7481, 0.16116, 535.47, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
56, -7.1914, 1.428, 0.016481, 0.015641, 0.12683, 0.74165, 0.081041, 0.001775, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 478.59, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
57, -7.1914, 1.0284, 0.012156, 0.015641, 0.18847, 1.0502, 0.07278, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 413.36, 1.7047,1.355, 1e-26,1000,3.7353, 1e-26, 4.8695
58, -7.1914, 1.428, 0.012156, 0.015641, 0.18847, 1.0502, 0.056702, 0.0026102, 137.5, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.0461, 0.084758, 535.47, 1.7047,1.355, 1e-26,1000,4.3837, 1e-26, 4.8695
59, -7.1917, 1.7852, 0.012156, 0.013983, 0.18847, 1.0502, 0.087766, 0.0027194, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 535.47, 1.7047,1.355, 1e-26,828.45,3.7353, 1e-26, 4.8695
60, -7.1920, 1.9436, 0.012156, 0.015641, 0.18847, 1.0502, 0.086614, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 314.64, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.9884
61, -7.1921, 1.428, 0.014615, 0.015641, 0.18847, 1.0502, 0.081041, 0.0015192, 168.85, 0.5727, 48.525, 1.2346, 1.8264, 0.35783, 2.7481, 0.16116, 765.39, 1.7047,1.355, 1e-26,1000,3.7353, 1e-26, 4.8695
62, -7.1922, 0.832, 0.012156, 0.015641, 0.18847, 1.0502, 0.081041, 0.0021398, 168.85, 0.5727, 48.525, 1.2346, 3.2529, 0.35783, 2.7481, 0.19714, 578.77, 1.7047,1.355, 1e-26,1000,3.7353, 1e-26, 4.8695
63, -7.1924, 1.428, 0.0072705, 0.015641, 0.24653, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 447.18, 1.7047,1.355, 1e-26,797.1,3.7353, 1e-26, 4.8695
64, -7.1926, 0.79204, 0.012156, 0.015641, 0.18847, 1.0502, 0.081041, 0.0023755, 154.08, 0.5727, 48.525, 0.84534, 3.049, 0.35783, 2.7481, 0.16121, 535.47, 1.7047,0.98831, 1e-26,648.14,3.7353, 1e-26, 4.8695
65, -7.1926, 1.428, 0.012156, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 206.67, 0.5727, 48.525, 1.2346, 2.9452, 0.35783, 2.7481, 0.16116, 535.47, 1.7053,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
66, -7.1929, 1.7321, 0.012156, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 535.47, 1.7047,1.9117, 1e-26,987.18,3.7353, 1e-26, 4.9874
67, -7.1930, 1.428, 0.015523, 0.015641, 0.18847, 1.0053, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16057, 499.9, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
68, -7.1930, 0.90337, 0.013043, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2962, 3.049, 0.35783, 2.7481, 0.16116, 535.47, 1.7047,1.3693, 1e-26,987.18,3.7353, 1e-26, 4.8695
69, -7.1930, 1.888, 0.012156, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 201.48, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 790.04, 1.7047,0.68104, 1e-26,987.18,3.7353, 1e-26, 4.8695
70, -7.1930, 0.9217, 0.012156, 0.015641, 0.18847, 0.89453, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.8236, 3.049, 0.35783, 2.7481, 0.16116, 535.47, 1.7047,1.4093, 1e-26,1000,3.1038, 1e-26, 4.8695
71, -7.1932, 0.91571, 0.012156, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.39388, 2.7481, 0.16116, 535.47, 1.7047,1.7005, 1e-26,1000,3.7353, 1e-26, 4.8695
72, -7.1932, 1.428, 0.015422, 0.015641, 0.18847, 0.66287, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.34189, 3.2415, 0.16116, 535.47, 1.7047,1.3454, 1e-26,805.63,3.7353, 1e-26, 4.8695
73, -7.1932, 1.428, 0.012156, 0.01, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.7576, 3.049, 0.35783, 2.7481, 0.19459, 535.47, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
74, -7.1933, 1.428, 0.012156, 0.015641, 0.18847, 0.65945, 0.10541, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 535.47, 1.7047,1.0073, 1e-26,987.18,3.7353, 1e-26, 4.8695
75, -7.1934, 1.428, 0.012156, 0.01, 0.18847, 1.0502, 0.081041, 0.0027674, 137.96, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 535.47, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
76, -7.1934, 1.428, 0.012156, 0.015641, 0.18847, 1.0502, 0.05483, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.6111, 0.35783, 2.7481, 0.16116, 535.47, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
77, -7.1934, 1.428, 0.012156, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.45543, 2.7481, 0.16116, 467.3, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
78, -7.1935, 1.428, 0.017301, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 0.73805, 3.049, 0.35783, 2.7481, 0.16116, 535.47, 1.7047,1.355, 1e-26,1000,3.7353, 1e-26, 4.8695
79, -7.1935, 1.6614, 0.012156, 0.015641, 0.18847, 1.0502, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.2346, 3.049, 0.35783, 2.7481, 0.16116, 455.98, 1.7047,1.355, 1e-26,987.18,3.7353, 1e-26, 4.8695
80, -7.1937, 1.428, 0.012156, 0.015641, 0.18847, 0.70669, 0.081041, 0.0026102, 168.85, 0.5727, 48.525, 1.6376, 3.049, 0.35783, 2.7481, 0.16116, 535.47, 1.7047,1.9967, 1e-26,1000,3.7353, 1e-26, 4.8695
