Rank, Fitness, kfsr, krsr_nostim, krsr_stim, kfmm, krmm, kfc_nostim, kfc_stim, S0, R0, D1, D1_over_D2
130, -73.0175, 10, 386.22, 0.30798, 0.047052, 2.3369, 0.054591, 0.017889, 10, 417.08, 0.096378, 5
131, -73.0451, 10, 369.9, 0.14949, 0.010304, 0.43907, 0.036282, 0.017872, 10, 500, 0.085009, 5
132, -73.0904, 10, 381.28, 0.90178, 0.047435, 2.5894, 0.045971, 0.0097159, 9.9521, 500, 0.079627, 2.278
133, -73.0955, 10, 320.64, 0.16162, 0.029952, 1.1249, 0.064209, 0.017067, 8.5641, 397.91, 0.079788, 4.7831
134, -73.2709, 10, 422.66, 0.1, 0.010004, 0.35086, 0.03653, 0.016793, 10, 428.28, 0.10512, 5
135, -73.3322, 10, 224.24, 0.84369, 0.024918, 3.3924, 0.052524, 0.014002, 5.823, 500, 0.08477, 4.6906
136, -73.3550, 10, 839.75, 0.1, 0.023368, 0.15896, 0.03964, 0.0078391, 10, 500, 0.096789, 2.5811
137, -73.3896, 9.1219, 377.21, 0.93046, 0.041611, 3.2876, 0.055674, 0.010316, 8.812, 500, 0.08477, 5
138, -73.5033, 10, 337.21, 0.1, 0.030128, 1.1319, 0.038905, 0.011979, 7.5798, 500, 0.05993, 3.8406
139, -73.5442, 10, 206.63, 0.1, 0.010124, 1.5956, 0.060745, 0.01709, 5.5897, 500, 0.06699, 5
140, -73.5999, 9.5476, 194.44, 0.10211, 0.019801, 1.8485, 0.036959, 0.01152, 9.0222, 500, 0.084885, 4.5984
141, -73.6146, 10, 176.55, 0.1, 0.086743, 2.2445, 0.041699, 0.012879, 4.6874, 500, 0.11171, 5
142, -73.6963, 10, 324.88, 0.13042, 0.031091, 0.24702, 0.057069, 0.012411, 4.9404, 469.3, 0.10946, 5
143, -73.7492, 7.3758, 224.24, 0.48364, 0.014512, 0.67762, 0.040818, 0.012411, 5.8779, 500, 0.082357, 5
144, -73.7585, 9.7249, 245.71, 0.59894, 0.060039, 1.0725, 0.032439, 0.010505, 6.0483, 500, 0.062601, 1.5
145, -73.7662, 4.5156, 49.615, 0.1065, 0.022722, 3.1133, 0.055489, 0.012833, 4.4545, 500, 0.064212, 5
146, -73.7916, 10, 632.19, 0.50326, 0.002285, 0.013639, 0.041115, 0.021881, 10, 307.36, 0.10088, 5
147, -73.8306, 4.5242, 14.075, 0.35659, 0.053106, 2.3512, 0.050962, 0.012411, 0.94388, 500, 0.059949, 1.5
148, -73.9738, 3.4939, 203.88, 0.12332, 0.01312, 0.1186, 0.05731, 0.0097746, 7.5894, 500, 0.11366, 5
149, -74.0336, 10, 228.8, 0.9281, 0.016015, 2.6537, 0.038156, 0.017289, 7.6622, 500, 0.077507, 5
150, -74.1279, 7.8514, 489.67, 0.49629, 0.010635, 0.10738, 0.055428, 0.017667, 10, 250.55, 0.12057, 4.8889
151, -74.1692, 6.9265, 120.7, 0.25808, 0.033119, 2.5633, 0.051931, 0.0095691, 4.4718, 500, 0.077122, 2.8922
152, -74.1872, 8.5761, 453.94, 0.28205, 0.1132, 3.4243, 0.054823, 0.014386, 10, 500, 0.092629, 4.5383
153, -74.2204, 8.3064, 381.54, 0.1588, 0.006852, 0.37724, 0.063334, 0.013401, 10, 500, 0.08207, 5
154, -74.2524, 10, 359.83, 0.37589, 0.0047394, 0.17377, 0.041115, 0.01652, 10, 316.44, 0.073749, 5
155, -74.4090, 10, 301.39, 0.28731, 0.030753, 2.6391, 0.05554, 0.013765, 8.4283, 500, 0.07478, 2.3611
156, -74.4330, 10, 199.93, 1.0546, 0.054959, 3.2445, 0.046786, 0.0090385, 5.4913, 500, 0.067726, 5
157, -74.5792, 10, 36.55, 0.36619, 0.014345, 0.49995, 0.031846, 0.017972, 1.2249, 500, 0.085005, 3.9213
158, -74.6016, 10, 428.51, 0.20642, 0.0078361, 0.37626, 0.04315, 0.010653, 10, 500, 0.10716, 5
159, -74.6496, 10, 301.14, 0.64977, 0.019798, 2.3255, 0.045591, 0.01739, 10, 467.48, 0.085537, 5
160, -74.6524, 6.9295, 55.779, 0.71922, 0.031231, 2.0359, 0.062921, 0.01802, 2.2805, 500, 0.08477, 5
161, -74.6701, 4.9724, 173.67, 0.99314, 0.017985, 1.1219, 0.04315, 0.012641, 6.9221, 500, 0.077496, 4.5844
162, -74.6827, 6.5432, 265.21, 0.21322, 0.01603, 0.087528, 0.020506, 0.012274, 7.9278, 500, 0.10823, 5
163, -74.6883, 10, 244.69, 0.53758, 0.038987, 2.3373, 0.038873, 0.0098335, 9.1103, 500, 0.068205, 5
164, -74.6900, 10, 238.77, 0.65683, 0.0019814, 0.15129, 0.04315, 0.010327, 7.7528, 493.38, 0.095039, 5
