timePoints,preCluster,postCluster,pre,post
4.3,25.757648303249322,38.48799008070733,95.44988005463682,300.0258657032132
4.4,26.028332139590542,38.73436088237246,95.68707971737706,300.0456895657076
4.5,26.287934237882197,38.96834428631546,95.91457634811371,300.0645309180549
4.6000000000000005,26.53679099729691,39.19046364256111,96.13266379410634,300.08242976594823
4.7,26.775238067886562,39.40122898650469,96.34163532162857,300.09942526353905
4.800000000000001,27.00360940293171,39.601136341682164,96.54178278150646,300.11555563922843
4.9,27.22223631643134,39.790667286793806,96.7333957790863,300.1308581432498
5.0,27.431446592374147,39.97028880354234,96.91676088951169,300.1453690208053
5.1000000000000005,27.631564168688907,40.140452974617745,97.09216137698769,300.15912347230085
5.2,27.822907866604456,40.30159680273847,97.2598760770673,300.1721556240511
5.300000000000001,28.005791692851478,40.45414228578789,97.4201796582841,300.1844985222375
5.4,28.180523606793972,40.59849643389252,97.57334153754353,300.1961841222411
5.5,28.347405732757977,40.735051184205474,97.71962606339046,300.2072432681657
5.6000000000000005,28.50673362686193,40.864183913393774,97.85929186981411,300.217705728287
5.7,28.658796120073895,40.98625724142246,97.99259173564613,300.2276001646638
5.800000000000001,28.803875202133966,41.10161957886087,98.1197724803688,300.23695417273655
5.9,28.94224551391363,41.21060522355237,98.24107451548369,300.24579427913216
6.0,29.074174664134897,41.3135346396665,98.35673212078366,300.2541459558378
6.1000000000000005,29.19992249070054,41.41071488537555,98.46697279261876,300.26203365082495
6.2,29.319741765093735,41.50243981600526,98.57201786140786,300.2694807951898
6.300000000000001,29.433877293122165,41.58899053700862,98.67208169836671,300.27650983645174
6.4,29.5425668156928,41.67063568604726,98.76737250618993,300.2831422543815
6.5,29.646040157300128,41.74763187249174,98.85809156754945,300.2893985931779
6.6000000000000005,29.744520047331875,41.82022402148478,98.9444339664489,300.2952984848637
6.7,29.838221505380957,41.888645770265136,99.0265880446685,300.30086067675495
6.800000000000001,29.927352476924252,41.953119856778954,99.10473596038028,300.30610306159247
6.9,30.012113445031552,42.013858488592824,99.17905334357222,300.31104270101184
7.0,30.092697958952062,42.07106372890918,99.24970976071435,300.3156958580583
7.1000000000000005,30.16929236632967,42.12492788058188,99.31686847628187,300.32007802125895
7.2,30.242076346060355,42.17563383989475,99.3806869213866,300.32420393547164
7.300000000000001,30.311222594030877,42.223355493031875,99.44131641414234,300.32808762787045
7.4,30.37689738777099,42.26825803967975,99.49890265669899,300.3317424364323
7.5,30.43926049172252,42.310498418864846,99.55358564935378,300.33518103770575
7.6000000000000005,30.498465356269023,42.35022554702343,99.60549986457627,300.33841547095363
7.7,30.55465943622479,42.38758081478161,99.65477452671337,300.3414571701803
7.800000000000001,30.607984098068428,42.42269822279549,99.70153352758322,300.34431698081784
7.9,30.658575054814776,42.455704907437266,99.7458958100683,300.347005195711
8.0,30.706562319653564,42.48672127761172,99.78797532381931,300.34953156905834
8.1,30.7520705120102,42.51586142182345,99.82788129567481,300.3519053469387
8.200000000000001,30.795218962425782,42.54323337418128,99.86571831928845,300.3541352882113
8.3,30.836121899079963,42.56893934787559,99.90158651903107,300.3562296836779
8.4,30.874888622221423,42.5930761219008,99.93558170267518,300.3581963854815
8.5,30.911623659036955,42.615735138124194,99.96779549589837,300.3600428162021
8.6,30.946426936635476,42.63700295115069,99.9983154951093,300.3617760030717
8.700000000000001,30.979393955869725,42.656961212517245,100.02722541738217,300.36340257856773
8.8,31.01061592824821,42.67568729286876,100.05460522222648,300.364928827454
8.9,31.040179950022097,42.69325409652299,100.0805312633146,300.3663606745439
9.0,31.06816919711091,42.70973049232344,100.10507645796629,300.3677037179384
9.1,31.094662943699504,42.725181673930635,100.1283103057589,300.36896325704197
9.200000000000001,31.119736897307167,42.73966878982239,100.15029917943363,300.37014426566157
9.3,31.143463231717625,42.753249899212435,100.17110635501385,300.3712514653316
9.4,31.165910647758484,42.76597960345595,100.19079206543543,300.37228929799693
