Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0
45, -0.4937, 6.857, 44.078, 0.4651, 0.54466, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.056107, 0.23088, 45.293, 0.062777, 60.741, 0.069389
46, -0.4937, 6.857, 44.078, 0.4651, 0.52498, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
47, -0.4937, 6.857, 44.078, 0.38935, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.040956, 0.23088, 45.293, 0.062777, 60.741, 0.069389
48, -0.4937, 6.857, 44.078, 0.4651, 0.50841, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
49, -0.4937, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.22165, 45.293, 0.062777, 60.741, 0.069389
50, -0.4937, 6.857, 44.078, 0.4651, 0.49162, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
51, -0.4937, 6.857, 44.078, 0.31102, 0.46259, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
52, -0.4937, 6.857, 44.078, 0.2974, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
53, -0.4937, 6.857, 44.078, 0.4651, 0.45525, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.022572, 0.23088, 45.293, 0.062777, 60.741, 0.069389
54, -0.4937, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.026592, 0.23088, 45.293, 0.062777, 60.741, 0.069389
55, -0.4937, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.01394, 0.041979, 0.23088, 27.162, 0.062777, 60.741, 0.069389
56, -0.4937, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.031175, 0.23088, 45.293, 0.062777, 60.741, 0.069389
57, -0.4937, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.01178, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
58, -0.4937, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.011084, 0.041979, 0.23088, 58.659, 0.062777, 60.741, 0.069389
59, -0.4937, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.010287, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
60, -0.4937, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0071252, 0.030879, 0.23088, 45.293, 0.062777, 60.741, 0.069389
61, -0.4937, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 51.894, 0.062777, 60.741, 0.069389
62, -0.4937, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 54.497, 0.062777, 60.741, 0.069389
63, -0.4937, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
64, -0.4937, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.041979, 0.23088, 55.267, 0.062777, 60.741, 0.069389
65, -0.4937, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0087149, 0.041979, 0.23088, 51.664, 0.062777, 60.741, 0.069389
66, -0.4937, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0082064, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
67, -0.4937, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0071613, 0.038742, 0.23088, 45.293, 0.062777, 60.741, 0.069389
68, -0.4937, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0077225, 0.041979, 0.23088, 35.626, 0.062777, 60.741, 0.069389
69, -0.4937, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.054939, 0.23088, 45.293, 0.062777, 60.741, 0.069389
70, -0.4937, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0070854, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
71, -0.4937, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.058772, 0.23088, 60.622, 0.062777, 60.741, 0.069389
72, -0.4937, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0063945, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
73, -0.4937, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.00545, 0.036276, 0.23088, 36.679, 0.062777, 60.741, 0.069389
74, -0.4937, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0048275, 0.03535, 0.23088, 45.293, 0.062777, 60.741, 0.069389
75, -0.4937, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0049591, 0.057481, 0.23088, 45.293, 0.062777, 60.741, 0.069389
76, -0.4938, 6.857, 44.078, 0.48408, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0095857, 0.022424, 0.23088, 45.293, 0.062777, 60.741, 0.069389
77, -0.4938, 6.857, 44.078, 0.49418, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.0053159, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
78, -0.4938, 6.857, 44.078, 0.4651, 0.41126, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.75926, 0.0081984, 0.041979, 0.23088, 45.293, 0.062777, 60.741, 0.069389
79, -0.4939, 6.857, 44.078, 0.26904, 0.22979, 0.21275, 0.01, 0.29522, 0.10575, 10, 0.7679, 0.010931, 0.041979, 0.23088, 36.837, 0.062777, 60.741, 0.069389
