Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfq, krq, eLoop, eDF, kfdd, Sd, stimUpSR, S0, R0, X0, Q0
14559, -13.9002, 5.316, 2.7895, 1.1959, 0.92798, 1.7033, 300.41, 6.1629, 0.058813, 0.0012385, 6.8935, 0.77705, 0.038793, 0.34495, 0.11539, 3.7537, 0.0026185, 222.58, 0.024623,9.244
14560, -13.9081, 5.316, 2.7895, 1.3911, 0.65037, 1.7248, 353.54, 10, 0.058813, 0.0010446, 5.0069, 0.78726, 0.032071, 0.52288, 0.11539, 3.7537, 0.0030048, 121.6, 0.024623,8.3732
14561, -13.9126, 6.1568, 2.2457, 1.711, 0.92798, 1.7033, 384.57, 5.2894, 0.058813, 0.0016935, 5.0069, 0.97707, 0.027138, 0.32492, 0.13232, 3.2263, 0.0026185, 257.13, 0.024623,9.244
14562, -13.9191, 5.316, 4.0914, 1.8321, 0.65037, 2.2365, 353.54, 10, 0.081569, 0.001, 5.0069, 1.3744, 0.027138, 0.43046, 0.1, 3.7537, 0.0030048, 61.656, 0.029471,8.3732
14563, -13.9271, 10, 2.2457, 1.35, 0.92798, 1.7033, 384.57, 5.1579, 0.058813, 0.0016935, 5.0069, 1.3744, 0.027138, 0.54133, 0.13232, 2.5134, 0.0034759, 222.58, 0.024623,9.244
14564, -13.9456, 7.3543, 2.2457, 1.35, 0.92798, 1.433, 224.13, 7.351, 0.058813, 0.0016935, 5.0069, 1.3744, 0.019458, 0.40872, 0.13232, 2.6193, 0.0038992, 222.58, 0.024623,9.244
14565, -13.9543, 5.316, 4.0549, 1.3911, 0.92798, 1.7033, 353.54, 8.6555, 0.058813, 0.0012385, 5.0069, 1.0571, 0.027138, 0.54133, 0.1, 3.7537, 0.0030048, 73.303, 0.034815,9.244
14566, -13.9574, 7.3543, 2.2457, 1.35, 1.319, 1.7033, 384.57, 5.1579, 0.058813, 0.0016935, 5.3017, 1.3744, 0.030462, 0.54133, 0.13232, 2.5134, 0.00354, 305.2, 0.024623,9.244
14567, -13.9644, 5.864, 1.4917, 1.3911, 0.92798, 1.7033, 353.54, 8.6555, 0.058813, 0.0012385, 5.0069, 1.3744, 0.027138, 0.76488, 0.11539, 3.7537, 0.0030048, 134.95, 0.032208,9.244
14568, -13.9678, 7.3543, 2.2457, 1.7547, 0.92798, 1.7033, 384.57, 5.1579, 0.058813, 0.0016935, 3.3574, 0.97806, 0.027138, 0.76769, 0.19574, 2.5134, 0.0029769, 225.35, 0.024623,9.244
