Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0, kfcm, krcm, eCA, kclus
65, -6.2362, 0.016127, 0.97724, 0.5263, 2.4664, 8.4427, 31.808, 0.022977, 881.75, 1.438, 0.12764, 0.0064561, 0.066946, 0.12898, 20.79, 0.0539, 565.52, 0.13516, 2.3892,0.00016308,9.3518,0.10724
66, -6.2363, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.17138, 0.0064561, 0.066946, 0.12898, 10.936, 0.054854, 565.52, 0.13516, 2.9992,9.5425e-05,9.3518,0.10724
67, -6.2365, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.4914, 0.12764, 0.0084867, 0.066946, 0.073399, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,11.889,0.10724
68, -6.2367, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.11573, 0.0052112, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.3518,0.10724
69, -6.2370, 0.011729, 0.90566, 0.5263, 1.9034, 7.2065, 21.324, 0.02294, 881.75, 1.2739, 0.12764, 0.0064561, 0.039383, 0.12898, 9.3117, 0.0539, 565.52, 0.13516, 3.8137,0.00016308,9.3518,0.10724
70, -6.2375, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0075113, 0.066946, 0.12898, 9.2045, 0.0539, 565.52, 0.13516, 2.8808,0.00016308,9.3518,0.10724
71, -6.2378, 0.011729, 0.90566, 0.5263, 1.9308, 8.4427, 20.875, 0.022977, 881.75, 1.7167, 0.12764, 0.0069864, 0.066946, 0.08816, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016447,9.3518,0.10724
72, -6.2386, 0.011729, 0.90566, 0.5263, 1.848, 9.7145, 21.324, 0.016281, 881.75, 1.438, 0.12764, 0.0081071, 0.066946, 0.12898, 23.633, 0.0539, 565.52, 0.1461, 2.9992,0.00022503,9.3518,0.054567
73, -6.2390, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.12408, 0.0046689, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.3518,0.10724
74, -6.2397, 0.011729, 1.0458, 0.5263, 1.9034, 7.5234, 21.324, 0.022977, 527.47, 0.97451, 0.1735, 0.0064561, 0.066946, 0.12898, 16.461, 0.0539, 677.88, 0.13516, 2.3615,0.00016308,5.4809,0.10724
75, -6.2403, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0077743, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.3518,0.11912
76, -6.2409, 0.01079, 0.90566, 0.60212, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.12764, 0.0044149, 0.066946, 0.12898, 22.828, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.3518,0.084179
77, -6.2428, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.01981, 881.75, 1.438, 0.094626, 0.0064561, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.3518,0.10724
78, -6.2430, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.023611, 881.75, 1.438, 0.12764, 0.0064561, 0.051235, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.3518,0.10724
79, -6.2443, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.034022, 881.75, 1.2622, 0.16315, 0.0064561, 0.066946, 0.12898, 19.703, 0.050298, 565.52, 0.13516, 2.9992,0.00016308,9.3518,0.10773
80, -6.2444, 0.011729, 0.90566, 0.5263, 1.7031, 5.7239, 30.479, 0.022977, 881.75, 2.0606, 0.12967, 0.0059354, 0.066946, 0.12898, 16.461, 0.060409, 565.52, 0.1349, 5.251,0.00016308,9.3518,0.10724
81, -6.2448, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 881.75, 1.438, 0.15575, 0.0064561, 0.066946, 0.15948, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,11.315,0.10724
82, -6.2452, 0.011729, 0.90566, 0.5263, 1.9034, 10, 21.324, 0.022977, 1000, 1.438, 0.079543, 0.0064561, 0.066946, 0.12898, 16.461, 0.0539, 550.46, 0.13516, 2.9992,0.00016308,9.3518,0.10724
83, -6.2456, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.021532, 881.75, 1.438, 0.12764, 0.0064561, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00016308,9.5751,0.12635
84, -6.2458, 0.011729, 1.0542, 0.5263, 1.3945, 7.138, 30.479, 0.033267, 881.75, 2.0606, 0.1883, 0.0059354, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 5.251,0.00016308,9.3518,0.10724
85, -6.2459, 0.011729, 0.90566, 0.62575, 1.9034, 8.4427, 21.324, 0.022927, 1000, 1.438, 0.12764, 0.0064561, 0.076946, 0.12898, 16.461, 0.0539, 565.52, 0.14273, 2.4758,0.00016308,12.883,0.10724
86, -6.2466, 0.012667, 0.90566, 0.40683, 1.3945, 5.7239, 30.479, 0.022977, 881.75, 2.362, 0.12967, 0.007976, 0.044429, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 6.372,0.00023074,8.4091,0.10724
87, -6.2483, 0.011729, 0.90566, 0.5263, 1.9034, 10, 21.324, 0.022977, 906.15, 1.438, 0.10851, 0.0064561, 0.066946, 0.12898, 16.343, 0.0539, 565.52, 0.13516, 2.9992,0.00015844,9.3518,0.10724
88, -6.2483, 0.011729, 0.90566, 0.5263, 1.9034, 8.4427, 21.324, 0.022977, 1000, 1.438, 0.12764, 0.0051178, 0.066946, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 2.9992,0.00020285,9.3518,0.13012
89, -6.2490, 0.010413, 0.90566, 0.6013, 1.9034, 8.4427, 21.324, 0.022977, 813.09, 1.438, 0.094519, 0.0064561, 0.068147, 0.12898, 16.461, 0.0539, 565.52, 0.13516, 2.9992,9.5738e-05,9.3518,0.10724
90, -6.2502, 0.011729, 0.90566, 0.5263, 1.3945, 5.7239, 30.479, 0.022977, 881.75, 2.0606, 0.12967, 0.0047319, 0.066946, 0.12898, 23.248, 0.0539, 565.52, 0.13516, 5.251,0.00016308,4.7823,0.15219
