Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, sig, eDF, kfdd, stimUpSR, S0, R0, X0
48, -2.4743, 0.12838, 0.0052008, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.036563, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
49, -2.4801, 0.12838, 0.0052008, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 20.564, 18.042, 0.038286, 0.099536, 23.054, 0.99988, 1.2387, 0.41066
50, -2.4802, 0.09612, 0.0052008, 0.004715, 0.029367, 0.018481, 2.5445, 4.7074, 0.064035, 0.19391, 19.133, 18.042, 0.050736, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
51, -2.4817, 0.12838, 0.0052008, 0.0046762, 0.035809, 0.018481, 2.5445, 4.9939, 0.062848, 0.19391, 19.133, 18.042, 0.036563, 0.2044, 23.054, 0.99988, 1.2387, 0.42415
52, -2.4826, 0.12838, 0.0069664, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.047144, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
53, -2.4856, 0.19132, 0.0052008, 0.0052343, 0.05029, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.0529, 0.2141, 23.054, 0.99988, 1.2348, 0.42415
54, -2.4896, 0.12838, 0.0074608, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 13.416, 0.037949, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
55, -2.4914, 0.11092, 0.0052008, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.12111, 11.948, 17.273, 0.032483, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
56, -2.4929, 0.15342, 0.0052008, 0.0049084, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 13.052, 0.054338, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
57, -2.4940, 0.12838, 0.0052008, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.037869, 0.16369, 23.054, 1.3885, 1.2387, 0.42415
58, -2.4953, 0.12838, 0.0052008, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.036563, 0.16369, 23.054, 1.4597, 1.2387, 0.42415
59, -2.4973, 0.17951, 0.0052008, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.16562, 19.133, 18.042, 0.036563, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
60, -2.5051, 0.12838, 0.006285, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.036563, 0.16369, 27.853, 1.4096, 1.2387, 0.42415
61, -2.5056, 0.12838, 0.0052008, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.036563, 0.13404, 22.612, 0.97967, 1.2387, 0.42415
62, -2.5067, 0.12838, 0.0055879, 0.0055718, 0.05207, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.026815, 0.16369, 23.054, 0.99988, 1.2387, 0.42415
63, -2.5092, 0.12838, 0.0052008, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.045065, 0.13344, 23.054, 0.99988, 1.2387, 0.42415
64, -2.5105, 0.12838, 0.0064294, 0.0046762, 0.043606, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.036563, 0.16369, 12.879, 0.99988, 1.2387, 0.42415
65, -2.5137, 0.17192, 0.0044342, 0.0046762, 0.046363, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.040878, 0.19385, 23.054, 0.99988, 1.2387, 0.42415
66, -2.5159, 0.13047, 0.0052008, 0.0046762, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 18.042, 0.036563, 0.13949, 26.639, 1.2037, 1.2387, 0.42415
67, -2.5181, 0.10125, 0.0031197, 0.0046762, 0.035809, 0.018481, 3.0249, 4.7074, 0.05429, 0.19391, 19.133, 25.924, 0.036563, 0.16369, 23.054, 0.99988, 1.299, 0.42415
68, -2.5326, 0.12838, 0.0052008, 0.0046762, 0.035809, 0.018481, 2.5445, 5.1158, 0.05429, 0.19391, 25.776, 18.042, 0.054199, 0.16369, 30.612, 0.99988, 1.2387, 0.42415
69, -2.5342, 0.12838, 0.0052008, 0.0039675, 0.035809, 0.018481, 2.5445, 4.7074, 0.05429, 0.19391, 19.133, 22.04, 0.021672, 0.16369, 28.115, 1.4111, 1.2387, 0.42415
