Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0
40, -8.5474, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 8.8269, 0.010394, 2.1393, 0.24139, 0.19864, 0.30838, 0.16338, 74.685, 0.77496, 0.38511, 0.1
41, -8.5616, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.014097, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.39429, 0.1
42, -8.5679, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.01, 2.8936, 0.24139, 0.19864, 0.18601, 0.16338, 74.685, 1.2626, 0.34034, 0.1
43, -8.6012, 0.010514, 0.031507, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.01, 2.1393, 0.24139, 0.19864, 0.23281, 0.083765, 74.685, 1.0473, 0.36816, 0.1
44, -8.6455, 0.010514, 0.030441, 0.1, 2.2203, 1.7633, 0.068127, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.19997, 0.16338, 86.989, 1.0473, 0.372, 0.1
45, -8.6843, 0.012563, 0.030441, 0.1, 1.8936, 1.1075, 0.089244, 8.2214, 0.01, 2.1393, 0.1249, 0.19864, 0.23281, 0.16338, 74.685, 1.2474, 0.34034, 0.1
46, -8.6984, 0.011521, 0.030441, 0.14096, 1.8936, 1.7633, 0.089244, 9.6043, 0.010054, 2.8398, 0.36035, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.34034, 0.1
47, -8.7593, 0.010514, 0.025308, 0.13331, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 2.1393, 0.24139, 0.21967, 0.23281, 0.16338, 63.54, 1.0473, 0.34808, 0.1
48, -8.7635, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.17306, 74.685, 1.0473, 0.36309, 0.1
49, -8.7825, 0.010514, 0.030441, 0.1, 1.7518, 1.7633, 0.089244, 7.3209, 0.010394, 2.1393, 0.24139, 0.21317, 0.24724, 0.16338, 92.619, 1.0473, 0.36183, 0.1
50, -8.7942, 0.015538, 0.030441, 0.1, 1.8936, 1.56, 0.089244, 7.3209, 0.01, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.34034, 0.1
51, -8.8009, 0.010514, 0.024362, 0.1, 2.1083, 0.99492, 0.089244, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.085503, 74.685, 1.0473, 0.34034, 0.1
52, -8.8115, 0.01266, 0.0251, 0.1, 1.8936, 1.5514, 0.089244, 8.4548, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 74.685, 1.2955, 0.34034, 0.1
53, -8.8151, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.011809, 2.1393, 0.18733, 0.23043, 0.23281, 0.16338, 74.685, 1.0473, 0.37107, 0.1
54, -8.8170, 0.014437, 0.030441, 0.10662, 1.8936, 1.8111, 0.073252, 7.3209, 0.010394, 2.1393, 0.24139, 0.10082, 0.23281, 0.16338, 74.685, 1.0473, 0.34034, 0.1
55, -8.8359, 0.010514, 0.021476, 0.1, 1.8233, 1.7633, 0.089244, 7.3209, 0.010394, 2.1393, 0.167, 0.19864, 0.19096, 0.16338, 74.685, 1.0473, 0.34034, 0.1
56, -8.8458, 0.014018, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.18409, 84.027, 1.0473, 0.34034, 0.1
57, -8.8465, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 3.1976, 0.34888, 0.19864, 0.30351, 0.16338, 74.685, 1.0473, 0.34034, 0.1
58, -8.8479, 0.014266, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.19373, 74.685, 1.0473, 0.34034, 0.1
59, -8.8695, 0.013021, 0.030441, 0.1, 1.8936, 1.7633, 0.079106, 7.3209, 0.01, 2.1393, 0.13473, 0.19864, 0.23281, 0.08184, 74.685, 1.0473, 0.34034, 0.1
60, -8.8711, 0.015056, 0.028446, 0.1, 1.8936, 1.7633, 0.096745, 7.3209, 0.010394, 2.1393, 0.20049, 0.19864, 0.23281, 0.23845, 74.685, 1.0473, 0.34034, 0.1
61, -8.8762, 0.010514, 0.023813, 0.1338, 1.8936, 1.7633, 0.089244, 7.3209, 0.01, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.34034, 0.1
62, -8.8801, 0.010514, 0.019113, 0.1, 1.8936, 1.7633, 0.10535, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.34034, 0.1
63, -8.8831, 0.010514, 0.030441, 0.1, 1.2748, 1.6152, 0.089244, 7.3209, 0.01, 2.9937, 0.24139, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.34034, 0.1
64, -8.8865, 0.014211, 0.027487, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 2.1393, 0.12241, 0.19864, 0.31163, 0.16338, 64.126, 1.0473, 0.34034, 0.1
65, -8.8870, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 3.1146, 0.24139, 0.19864, 0.23281, 0.16338, 78.831, 1.0473, 0.34034, 0.1
66, -8.8913, 0.013764, 0.030441, 0.1, 2.8217, 1.7633, 0.11678, 7.3209, 0.010394, 2.1275, 0.24139, 0.19864, 0.23281, 0.16338, 83.119, 1.0473, 0.34034, 0.1
67, -8.8919, 0.010514, 0.020294, 0.1, 2.2544, 1.7633, 0.089244, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.34133, 0.16338, 74.685, 1.0473, 0.33761, 0.1
68, -8.9026, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.067791, 7.3209, 0.010394, 3.0146, 0.18953, 0.19864, 0.23281, 0.16338, 67.568, 1.0473, 0.34034, 0.1
69, -8.9335, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 3.037, 0.24139, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.34034, 0.1
70, -8.9390, 0.010514, 0.030441, 0.12322, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 3.0542, 0.24139, 0.19864, 0.21178, 0.20941, 74.685, 1.0473, 0.34034, 0.1
71, -8.9395, 0.010514, 0.021913, 0.1, 2.6164, 1.7633, 0.10146, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.12898, 39.744, 1.0473, 0.34034, 0.1
72, -8.9414, 0.012937, 0.030441, 0.1, 1.4321, 1.5176, 0.089244, 7.5275, 0.010394, 2.1393, 0.24139, 0.1164, 0.21455, 0.13512, 54.822, 1.0473, 0.34034, 0.1
73, -8.9416, 0.0141, 0.023671, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.34034, 0.1
